"","year","month","intent","police","sex","age","race","hispanic","place","education"
"67227",2014,"03","Suicide",0,"M",63,"White",100,"Home",4
"67228",2014,"03","Suicide",0,"M",22,"White",100,"Home",3
"67229",2014,"03","Suicide",0,"F",64,"White",100,"Home",1
"67230",2014,"03","Undetermined",0,"F",23,"White",100,"Home",2
"67231",2014,"04","Suicide",0,"M",51,"White",100,"Home",2
"67232",2014,"03","Homicide",0,"M",52,"White",100,"Street",1
"67233",2014,"03","Homicide",0,"F",47,"Native American/Native Alaskan",100,"Other specified",2
"67234",2014,"03","Undetermined",0,"F",35,"Native American/Native Alaskan",100,"Home",3
"67235",2014,"04","Suicide",0,"M",35,"White",100,"Home",3
"67236",2014,"04","Suicide",0,"M",42,"White",100,"Home",3
"67237",2014,"03","Homicide",0,"M",45,"Native American/Native Alaskan",100,"Other specified",3
"67238",2014,"04","Suicide",0,"M",47,"White",100,"Home",2
"67239",2014,"04","Suicide",0,"M",31,"Hispanic",210,"Trade/service area",2
"67240",2014,"04","Suicide",0,"M",59,"Hispanic",210,"Other specified",1
"67241",2014,"03","Suicide",0,"M",60,"Asian/Pacific Islander",100,"Home",3
"67242",2014,"04","Suicide",0,"M",42,"White",100,"Home",3
"67243",2014,"04","Suicide",0,"M",32,"White",100,"Home",3
"67244",2014,"04","Suicide",0,"M",26,"White",100,"Other specified",3
"67245",2014,"05","Suicide",0,"M",61,"White",100,"Other specified",3
"67246",2014,"05","Homicide",0,"M",45,"White",100,"Home",4
"67247",2014,"05","Homicide",0,"M",26,"White",100,"Home",3
"67248",2014,"05","Suicide",0,"M",18,"White",100,"Street",1
"67249",2014,"05","Suicide",0,"M",39,"White",100,"Home",2
"67250",2014,"04","Suicide",0,"M",28,"Native American/Native Alaskan",100,"Home",2
"67251",2014,"05","Suicide",0,"M",30,"Native American/Native Alaskan",100,"Home",3
"67252",2014,"05","Homicide",0,"M",51,"White",100,"Home",2
"67253",2014,"05","Suicide",0,"F",30,"Native American/Native Alaskan",100,"Home",1
"67254",2014,"04","Suicide",0,"M",36,"Native American/Native Alaskan",100,"Home",2
"67255",2014,"05","Suicide",0,"M",54,"White",100,"Home",2
"67256",2014,"04","Suicide",0,"M",24,"Black",100,"Other specified",2
"67257",2014,"05","Suicide",0,"M",24,"White",100,"Home",5
"67258",2014,"05","Suicide",0,"M",19,"Native American/Native Alaskan",100,"Home",3
"67259",2014,"06","Suicide",0,"M",22,"Hispanic",210,"Home",1
"67260",2014,"06","Suicide",0,"M",36,"White",100,"Home",3
"67261",2014,"06","Suicide",0,"M",28,"Native American/Native Alaskan",100,"Home",2
"67262",2014,"06","Suicide",0,"M",44,"White",100,"Other specified",2
"67263",2014,"06","Suicide",0,"M",86,"White",100,"Home",1
"67264",2014,"06","Suicide",0,"M",29,"Black",100,"Home",2
"67265",2014,"06","Suicide",0,"M",61,"Native American/Native Alaskan",100,"Home",2
"67266",2014,"06","Suicide",0,"M",21,"Native American/Native Alaskan",100,"Home",2
"67267",2014,"06","Suicide",0,"F",64,"White",100,"Home",2
"67268",2014,"06","Homicide",0,"F",20,"White",100,"Home",2
"67269",2014,"07","Suicide",0,"F",64,"White",100,"Home",4
"67270",2014,"02","Homicide",0,"F",29,"White",100,"Other unspecified",2
"67271",2014,"04","Homicide",0,"F",15,"Hispanic",260,"Home",1
"67272",2014,"07","Suicide",0,"M",18,"Native American/Native Alaskan",100,"Home",2
"67273",2014,"07","Suicide",0,"M",30,"Hispanic",210,"Home",2
"67274",2014,"07","Suicide",0,"M",28,"Native American/Native Alaskan",100,"Home",2
"67275",2014,"06","Undetermined",0,"M",66,"White",100,"Other specified",4
"67276",2014,"07","Suicide",0,"M",76,"White",100,"Home",2
"67277",2014,"07","Suicide",0,"M",26,"White",100,"Other specified",2
"67278",2014,"07","Undetermined",0,"M",65,"White",100,"Other specified",2
"67279",2014,"07","Suicide",0,"M",25,"White",100,"Other specified",2
"67280",2014,"07","Suicide",0,"M",24,"White",100,"Home",2
"67281",2014,"08","Suicide",0,"M",63,"White",100,"Other specified",3
"67282",2014,"07","Suicide",0,"M",31,"Black",100,"Other unspecified",3
"67283",2014,"07","Suicide",0,"M",57,"Native American/Native Alaskan",100,"Home",1
"67284",2014,"07","Suicide",0,"M",53,"Asian/Pacific Islander",100,"Home",2
"67285",2014,"08","Suicide",0,"M",31,"Native American/Native Alaskan",100,"Other specified",1
"67286",2014,"08","Suicide",0,"M",26,"White",100,"Home",2
"67287",2014,"08","Homicide",0,"M",63,"Asian/Pacific Islander",100,"Home",4
"67288",2014,"08","Suicide",0,"M",18,"Native American/Native Alaskan",100,"Home",2
"67289",2014,"08","Suicide",0,"M",17,"Native American/Native Alaskan",100,"Home",1
"67290",2014,"08","Suicide",0,"M",54,"White",100,"Home",2
"67291",2014,"08","Suicide",0,"M",42,"White",100,"Home",5
"67292",2014,"08","Suicide",0,"M",40,"White",100,"Home",2
"67293",2014,"08","Suicide",0,"M",26,"Hispanic",260,"Home",1
"67294",2014,"08","Suicide",0,"M",65,"White",100,"Other unspecified",4
"67295",2014,"08","Suicide",0,"F",48,"White",100,"Home",2
"67296",2014,"08","Suicide",0,"M",44,"Native American/Native Alaskan",100,"Home",2
"67297",2014,"09","Suicide",0,"M",62,"White",100,"Home",3
"67298",2014,"07","Suicide",0,"M",22,"Black",100,"Home",2
"67299",2014,"09","Homicide",0,"M",23,"White",100,"Home",2
"67300",2014,"09","Suicide",0,"M",78,"White",100,"Home",4
"67301",2014,"09","Suicide",0,"F",21,"Native American/Native Alaskan",100,"Home",3
"67302",2014,"09","Accident",0,"M",59,"White",100,"Home",4
"67303",2014,"09","Suicide",0,"M",51,"White",100,"Other specified",3
"67304",2014,"09","Suicide",0,"M",32,"White",100,"Home",2
"67305",2014,"09","Suicide",0,"M",19,"Hispanic",210,"Street",3
"67306",2014,"09","Suicide",0,"M",56,"White",100,"Home",1
"67307",2014,"10","Suicide",0,"M",26,"Native American/Native Alaskan",100,"Home",2
"67308",2014,"10","Homicide",0,"M",36,"Native American/Native Alaskan",100,"Other specified",2
"67309",2014,"10","Homicide",0,"F",25,"White",100,"Home",3
"67310",2014,"10","Suicide",0,"M",24,"White",100,"Home",2
"67311",2014,"09","Suicide",0,"F",39,"White",100,"Home",3
"67312",2014,"10","Homicide",0,"M",64,"Black",100,"Home",3
"67313",2014,"10","Suicide",0,"M",33,"White",100,"Home",1
"67314",2014,"10","Homicide",0,"F",47,"White",100,"Home",2
"67315",2014,"10","Suicide",0,"M",71,"White",100,"Other specified",4
"67316",2014,"10","Suicide",0,"M",16,"White",100,"Home",1
"67317",2014,"09","Suicide",0,"F",35,"White",100,"Home",2
"67318",2014,"10","Suicide",0,"F",50,"White",100,"Other specified",2
"67319",2014,"10","Suicide",0,"M",21,"White",100,"Home",3
"67320",2014,"10","Suicide",0,"M",19,"White",100,"Home",2
"67321",2014,"10","Suicide",0,"M",74,"White",100,"Home",1
"67322",2014,"10","Suicide",0,"M",60,"White",100,"Home",2
"67323",2014,"10","Suicide",0,"M",83,"White",100,"Home",2
"67324",2014,"11","Suicide",0,"M",53,"White",100,"Other specified",4
"67325",2014,"11","Suicide",0,"M",24,"White",100,"Home",3
"67326",2014,"10","Suicide",0,"M",28,"Native American/Native Alaskan",100,"Other specified",3
"67327",2014,"10","Suicide",0,"F",30,"White",100,"Trade/service area",3
"67328",2014,"11","Suicide",0,"M",29,"White",100,"Home",2
"67329",2014,"11","Homicide",0,"F",28,"White",100,"Other specified",2
"67330",2014,"11","Suicide",0,"M",30,"White",100,"Home",2
"67331",2014,"11","Suicide",0,"M",42,"White",100,"Home",3
"67332",2014,"11","Suicide",0,"M",49,"White",100,"Home",2
"67333",2014,"12","Suicide",0,"M",30,"White",100,"Home",2
"67334",2014,"12","Suicide",0,"M",29,"Native American/Native Alaskan",100,"Trade/service area",3
"67335",2014,"12","Suicide",0,"M",48,"White",100,"Other specified",3
"67336",2014,"12","Homicide",0,"M",48,"White",100,"Home",4
"67337",2014,"12","Suicide",0,"M",26,"Native American/Native Alaskan",100,"Home",2
"67338",2014,"12","Homicide",0,"M",24,"White",100,"Home",5
"67339",2014,"12","Suicide",0,"M",31,"White",100,"Home",2
"67340",2014,"12","Homicide",0,"F",33,"Native American/Native Alaskan",100,"Home",2
"67341",2014,"12","Suicide",0,"M",63,"White",100,"Home",1
"67342",2014,"12","Suicide",0,"M",46,"White",100,"Other specified",2
"67343",2014,"12","Undetermined",0,"M",55,"White",100,"Home",2
"67344",2014,"12","Suicide",0,"F",51,"White",100,"Home",3
"67345",2014,"12","Suicide",0,"M",39,"White",100,"Home",2
"67346",2014,"12","Suicide",0,"M",65,"White",100,"Home",2
"67347",2014,"01","Homicide",0,"F",18,"White",100,"Home",2
"67348",2014,"01","Homicide",0,"M",37,"White",100,"Home",1
"67349",2014,"01","Homicide",0,"M",32,"White",100,"Home",1
"67350",2014,"01","Homicide",0,"F",45,"White",100,"Home",2
"67351",2014,"01","Homicide",0,"F",35,"Black",100,"Home",2
"67352",2014,"01","Homicide",0,"F",21,"Black",100,"Street",3
"67353",2014,"01","Suicide",0,"M",64,"White",100,"Other specified",4
"67354",2014,"01","Homicide",0,"M",20,"Black",100,"School/instiution",2
"67355",2014,"01","Suicide",0,"M",75,"White",100,"Home",1
"67356",2014,"01","Suicide",0,"M",21,"White",100,"Other unspecified",3
"67357",2014,"01","Suicide",0,"F",50,"Black",100,"Home",3
"67358",2014,"01","Homicide",0,"M",30,"Black",100,"Home",2
"67359",2014,"01","Homicide",0,"M",22,"Black",100,"Street",1
"67360",2014,"01","Homicide",0,"M",61,"Black",100,"Home",2
"67361",2014,"01","Accident",0,"M",36,"White",100,"Other specified",1
"67362",2014,"01","Suicide",0,"M",30,"White",100,"Home",1
"67363",2014,"01","Suicide",0,"M",63,"White",100,"Home",2
"67364",2014,"01","Suicide",0,"M",52,"White",100,"Other specified",1
"67365",2014,"01","Suicide",0,"M",63,"White",100,"Home",4
"67366",2014,"01","Homicide",0,"M",50,"White",100,"Other specified",3
"67367",2014,"01","Homicide",0,"M",35,"White",100,"Home",1
"67368",2014,"01","Homicide",0,"M",54,"Black",100,"Other unspecified",1
"67369",2014,"01","Suicide",0,"F",35,"White",100,"Home",2
"67370",2014,"01","Homicide",0,"M",17,"Black",100,"Home",1
"67371",2014,"01","Homicide",0,"M",36,"Black",100,"Home",3
"67372",2014,"01","Suicide",0,"M",34,"White",100,"Home",2
"67373",2014,"01","Suicide",0,"M",23,"White",100,"Other specified",3
"67374",2014,"01","Suicide",0,"M",22,"White",100,"Home",4
"67375",2014,"01","Homicide",0,"M",62,"Black",100,"Other specified",3
"67376",2014,"01","Homicide",0,"M",35,"Black",100,"Trade/service area",2
"67377",2014,"01","Homicide",0,"M",37,"White",100,"Trade/service area",4
"67378",2014,"01","Suicide",0,"M",30,"White",100,"Home",1
"67379",2014,"01","Suicide",0,"F",31,"White",100,"Home",3
"67380",2014,"01","Suicide",0,"M",55,"White",100,"Home",1
"67381",2014,"01","Suicide",0,"M",72,"White",100,"Home",3
"67382",2014,"01","Homicide",0,"M",76,"White",100,"Home",2
"67383",2014,"01","Accident",0,"M",37,"White",100,"Other specified",2
"67384",2014,"01","Suicide",0,"F",53,"White",100,"Home",2
"67385",2014,"01","Suicide",0,"M",84,"White",100,"Home",1
"67386",2014,"01","Homicide",0,"M",65,"White",100,"Other specified",2
"67387",2014,"01","Suicide",0,"M",77,"White",100,"Home",2
"67388",2014,"01","Suicide",0,"M",39,"White",100,"Home",3
"67389",2014,"01","Homicide",0,"M",42,"White",100,"Home",2
"67390",2014,"01","Suicide",0,"M",40,"White",100,"Home",2
"67391",2014,"01","Suicide",0,"M",76,"White",100,"Home",1
"67392",2014,"01","Accident",0,"M",60,"White",100,"Other specified",4
"67393",2014,"01","Suicide",0,"M",33,"White",100,"Other specified",1
"67394",2014,"01","Accident",0,"M",45,"White",100,"Home",4
"67395",2014,"01","Suicide",0,"M",44,"White",100,"Home",1
"67396",2014,"01","Suicide",0,"M",52,"Hispanic",211,"Home",1
"67397",2014,"02","Suicide",0,"M",72,"White",100,"Home",2
"67398",2014,"01","Suicide",0,"M",58,"White",100,"Other specified",4
"67399",2014,"01","Undetermined",0,"F",19,"Black",100,"Other specified",1
"67400",2014,"02","Suicide",0,"F",53,"White",100,"Home",2
"67401",2014,"02","Suicide",0,"M",65,"White",100,"Home",4
"67402",2014,"01","Suicide",0,"M",31,"Black",100,"Home",2
"67403",2014,"02","Suicide",0,"F",54,"White",100,"Home",3
"67404",2014,"02","Homicide",0,"M",17,"Hispanic",211,"Street",1
"67405",2014,"01","Suicide",0,"M",54,"White",100,"Home",3
"67406",2014,"02","Suicide",0,"F",54,"White",100,"Home",2
"67407",2014,"01","Suicide",0,"M",43,"White",100,"Home",4
"67408",2014,"02","Suicide",0,"F",65,"White",100,"Home",2
"67409",2014,"01","Homicide",0,"M",20,"Black",100,"Street",1
"67410",2014,"02","Suicide",0,"M",23,"Black",100,"Street",3
"67411",2014,"01","Homicide",0,"M",64,"Black",100,"Home",2
"67412",2014,"02","Suicide",0,"M",53,"White",100,"Home",2
"67413",2014,"01","Suicide",0,"M",40,"White",100,"Home",2
"67414",2014,"01","Homicide",0,"M",20,"Black",100,"Other specified",2
"67415",2014,"01","Homicide",0,"F",32,"Black",100,"Street",1
"67416",2014,"02","Suicide",0,"M",19,"White",100,"Home",3
"67417",2014,"02","Suicide",0,"M",45,"White",100,"Other specified",2
"67418",2014,"02","Homicide",0,"M",24,"Black",100,"Street",2
"67419",2014,"02","Suicide",0,"F",49,"White",100,"Other specified",2
"67420",2014,"01","Homicide",0,"M",24,"Black",100,"Street",2
"67421",2014,"02","Suicide",0,"F",22,"White",100,"Home",2
"67422",2014,"01","Suicide",0,"M",31,"White",100,"Street",1
"67423",2014,"01","Suicide",0,"M",54,"White",100,"Trade/service area",1
"67424",2014,"02","Suicide",0,"M",30,"White",100,"Home",4
"67425",2014,"02","Accident",0,"M",61,"White",100,"Other specified",4
"67426",2014,"01","Suicide",0,"M",32,"White",100,"Home",2
"67427",2014,"02","Suicide",0,"M",80,"White",100,"Home",1
"67428",2014,"02","Suicide",0,"M",30,"White",100,"Home",2
"67429",2014,"02","Suicide",0,"M",63,"White",100,"Home",2
"67430",2014,"02","Homicide",0,"M",75,"White",100,"Home",4
"67431",2014,"02","Homicide",0,"M",19,"Black",100,"Other unspecified",1
"67432",2014,"02","Suicide",0,"M",61,"White",100,"Home",2
"67433",2014,"02","Homicide",0,"M",38,"Black",100,"Home",1
"67434",2014,"02","Homicide",0,"M",19,"Black",100,"School/instiution",2
"67435",2014,"02","Accident",0,"M",64,"White",100,"Other unspecified",4
"67436",2014,"01","Suicide",0,"M",36,"White",100,"Other specified",2
"67437",2014,"02","Suicide",0,"M",18,"White",100,"Home",1
"67438",2014,"01","Suicide",0,"M",79,"White",100,"Home",2
"67439",2014,"02","Homicide",0,"M",23,"Black",100,"Trade/service area",2
"67440",2014,"02","Suicide",0,"M",39,"White",100,"Home",2
"67441",2014,"02","Homicide",0,"M",22,"Black",100,"Street",2
"67442",2014,"02","Homicide",0,"M",26,"Black",100,"Home",2
"67443",2014,"02","Suicide",0,"M",76,"White",100,"Home",2
"67444",2014,"01","Suicide",0,"M",34,"Black",100,"Home",2
"67445",2014,"02","Suicide",0,"M",74,"White",100,"Home",2
"67446",2014,"02","Suicide",0,"M",28,"White",100,"Home",2
"67447",2014,"02","Suicide",0,"M",57,"White",100,"Home",2
"67448",2014,"02","Suicide",0,"M",65,"White",100,"Home",2
"67449",2014,"03","Accident",0,"M",21,"White",100,"Home",1
"67450",2014,"03","Homicide",0,"F",32,"White",100,"Home",3
"67451",2014,"03","Suicide",0,"M",64,"White",100,"Home",3
"67452",2014,"02","Suicide",0,"M",45,"White",100,"Home",2
"67453",2014,"02","Suicide",0,"M",38,"Black",100,"Home",2
"67454",2014,"01","Homicide",0,"M",29,"Black",100,"Home",1
"67455",2014,"03","Suicide",0,"F",42,"White",100,"Home",1
"67456",2014,"02","Suicide",0,"M",35,"White",100,"Home",3
"67457",2014,"03","Suicide",0,"M",45,"White",100,"Home",2
"67458",2014,"03","Suicide",0,"F",45,"White",100,"Home",2
"67459",2014,"03","Suicide",0,"M",68,"White",100,"Home",3
"67460",2014,"03","Suicide",0,"M",41,"White",100,"Home",2
"67461",2014,"02","Suicide",0,"M",57,"Black",100,"Home",2
"67462",2014,"02","Suicide",0,"M",34,"White",100,"Home",4
"67463",2014,"03","Suicide",0,"M",48,"White",100,"Home",2
"67464",2014,"03","Homicide",0,"M",35,"Black",100,"Street",1
"67465",2014,"03","Accident",0,"M",46,"White",100,"Home",1
"67466",2014,"02","Homicide",0,"M",28,"Black",100,"Home",1
"67467",2014,"03","Suicide",0,"M",46,"White",100,"Home",2
"67468",2014,"03","Accident",0,"M",8,"Black",100,"Home",1
"67469",2014,"02","Suicide",0,"F",25,"Black",100,"Home",3
"67470",2014,"03","Suicide",0,"M",82,"White",100,"Home",1
"67471",2014,"03","Suicide",0,"M",88,"White",100,"Home",2
"67472",2014,"02","Homicide",0,"M",35,"Black",100,"Home",2
"67473",2014,"02","Suicide",0,"M",47,"White",100,"Home",4
"67474",2014,"03","Accident",0,"M",35,"White",100,"Home",2
"67475",2014,"02","Suicide",0,"M",84,"Black",100,"Home",1
"67476",2014,"02","Suicide",0,"F",32,"Black",100,"Home",2
"67477",2014,"03","Suicide",0,"F",41,"White",100,"Home",2
"67478",2014,"03","Suicide",0,"F",58,"White",100,"Home",2
"67479",2014,"03","Homicide",0,"F",50,"White",100,"Home",2
"67480",2014,"01","Homicide",0,"M",33,"Black",100,"Street",2
"67481",2014,"03","Suicide",0,"M",58,"White",100,"Home",4
"67482",2014,"03","Homicide",0,"F",88,"White",100,"Home",2
"67483",2014,"03","Suicide",0,"M",91,"White",100,"Home",4
"67484",2014,"02","Suicide",0,"M",52,"White",100,"Home",2
"67485",2014,"02","Homicide",0,"M",23,"Black",100,"Other specified",2
"67486",2014,"03","Suicide",0,"M",57,"White",100,"Home",2
"67487",2014,"02","Suicide",0,"M",63,"White",100,"Other unspecified",2
"67488",2014,"03","Suicide",0,"M",41,"White",100,"Home",2
"67489",2014,"03","Suicide",0,"F",46,"White",100,"Home",1
"67490",2014,"03","Suicide",0,"M",69,"White",100,"Home",4
"67491",2014,"03","Homicide",0,"F",34,"White",100,"Home",2
"67492",2014,"02","Suicide",0,"M",78,"White",100,"Trade/service area",2
"67493",2014,"02","Homicide",0,"M",26,"Black",100,"Other specified",1
"67494",2014,"03","Homicide",1,"M",21,"Black",100,NA,2
"67495",2014,"03","Suicide",0,"M",31,"White",100,"Home",4
"67496",2014,"03","Homicide",0,"M",66,"White",100,"Street",1
"67497",2014,"03","Suicide",0,"M",73,"White",100,"Home",4
"67498",2014,"03","Suicide",0,"F",28,"White",100,"Home",3
"67499",2014,"03","Accident",0,"M",21,"White",100,"Other unspecified",2
"67500",2014,"01","Homicide",0,"M",35,"Black",100,"Trade/service area",2
"67501",2014,"02","Suicide",0,"M",23,"White",100,"Home",3
"67502",2014,"03","Homicide",0,"F",57,"White",100,"Home",3
"67503",2014,"03","Suicide",0,"F",78,"White",100,"Home",1
"67504",2014,"03","Suicide",0,"F",37,"White",100,"Home",2
"67505",2014,"02","Accident",0,"F",44,"White",100,"Home",2
"67506",2014,"03","Homicide",0,"M",33,"Black",100,"Street",1
"67507",2014,"03","Suicide",0,"M",48,"White",100,"Other unspecified",3
"67508",2014,"03","Homicide",0,"M",34,"Black",100,"Street",1
"67509",2014,"03","Accident",0,"M",68,"White",100,"Home",2
"67510",2014,"03","Suicide",0,"M",41,"White",100,"Industrial/construction",3
"67511",2014,"03","Suicide",0,"M",68,"White",100,"Home",1
"67512",2014,"03","Suicide",0,"M",61,"White",100,"Home",3
"67513",2014,"03","Suicide",0,"M",41,"White",100,"Home",4
"67514",2014,"03","Suicide",0,"M",40,"Black",100,"Home",2
"67515",2014,"03","Suicide",0,"F",58,"White",100,"Home",3
"67516",2014,"03","Homicide",0,"M",28,"White",100,"Home",1
"67517",2014,"03","Homicide",0,"M",20,"Black",100,"Street",3
"67518",2014,"03","Suicide",0,"M",40,"White",100,"Home",2
"67519",2014,"01","Homicide",0,"M",40,"Black",100,"Street",2
"67520",2014,"03","Homicide",0,"M",28,"Black",100,"Other specified",1
"67521",2014,"01","Homicide",0,"M",67,"White",100,"Home",1
"67522",2014,"03","Suicide",0,"M",56,"White",100,"Home",1
"67523",2014,"03","Homicide",0,"F",53,"White",100,"Home",3
"67524",2014,"04","Homicide",0,"M",28,"Black",100,"Home",2
"67525",2014,"03","Homicide",0,"M",73,"Black",100,"Home",4
"67526",2014,"03","Suicide",0,"M",44,"Black",100,"Home",2
"67527",2014,"04","Suicide",0,"M",46,"White",100,"School/instiution",4
"67528",2014,"04","Suicide",0,"M",62,"White",100,"Street",4
"67529",2014,"04","Suicide",0,"M",62,"White",100,"Home",2
"67530",2014,"04","Homicide",0,"M",52,"White",100,"Home",3
"67531",2014,"04","Suicide",0,"F",67,"White",100,"Other unspecified",3
"67532",2014,"03","Suicide",0,"F",49,"White",100,"Street",3
"67533",2014,"03","Suicide",0,"M",51,"White",100,"Home",4
"67534",2014,"04","Suicide",0,"M",57,"White",100,"Home",1
"67535",2014,"04","Suicide",0,"M",18,"White",100,"Home",2
"67536",2014,"03","Suicide",0,"F",53,"White",100,"Home",3
"67537",2014,"03","Suicide",0,"M",33,"White",100,"Home",3
"67538",2014,"04","Suicide",0,"F",55,"White",100,"Home",3
"67539",2014,"03","Suicide",0,"M",62,"White",100,"Other specified",4
"67540",2014,"03","Suicide",0,"M",55,"White",100,"Home",1
"67541",2014,"04","Suicide",0,"M",60,"White",100,"Home",4
"67542",2014,"04","Homicide",0,"M",29,"Black",100,"Home",2
"67543",2014,"03","Suicide",0,"M",80,"White",100,"Home",3
"67544",2014,"04","Homicide",0,"M",18,"White",100,"Home",1
"67545",2014,"04","Suicide",0,"M",59,"White",100,"Home",2
"67546",2014,"04","Suicide",0,"M",51,"White",100,"Street",3
"67547",2014,"04","Suicide",0,"M",40,"White",100,"Other specified",2
"67548",2014,"04","Suicide",0,"M",71,"White",100,"Home",2
"67549",2014,"04","Suicide",0,"M",37,"White",100,"Home",1
"67550",2014,"03","Homicide",0,"M",23,"Black",100,"Street",1
"67551",2014,"03","Suicide",0,"M",41,"White",100,"Other unspecified",4
"67552",2014,"04","Suicide",0,"M",27,"Black",100,"Home",1
"67553",2014,"03","Homicide",0,"M",31,"Black",100,"Trade/service area",3
"67554",2014,"04","Homicide",0,"M",19,"Black",100,"Street",1
"67555",2014,"03","Homicide",0,"M",31,"White",100,"Other unspecified",1
"67556",2014,"04","Suicide",0,"M",64,"White",100,"Home",4
"67557",2014,"04","Homicide",0,"M",27,"White",100,"Home",2
"67558",2014,"04","Suicide",0,"M",64,"White",100,"Home",2
"67559",2014,"03","Suicide",0,"M",69,"White",100,"Home",3
"67560",2014,"03","Suicide",0,"M",38,"Black",100,"Home",2
"67561",2014,"03","Homicide",0,"F",31,"Black",100,"Street",2
"67562",2014,"04","Suicide",0,"M",85,"White",100,"Home",2
"67563",2014,"03","Homicide",0,"F",26,"Black",100,"Home",3
"67564",2014,"04","Suicide",0,"M",37,"White",100,"Home",4
"67565",2014,"04","Suicide",0,"M",42,"White",100,"Home",4
"67566",2014,"04","Suicide",0,"M",48,"White",100,"Home",1
"67567",2014,"04","Suicide",0,"M",76,"White",100,"Home",3
"67568",2014,"04","Suicide",0,"M",60,"Native American/Native Alaskan",100,"Other specified",1
"67569",2014,"03","Homicide",0,"F",40,"White",100,"Home",4
"67570",2014,"04","Homicide",0,"M",32,"Black",100,"Home",1
"67571",2014,"04","Suicide",0,"M",60,"White",100,"Home",1
"67572",2014,"04","Homicide",0,"M",66,"White",100,"Home",2
"67573",2014,"04","Suicide",0,"M",52,"White",100,"Home",3
"67574",2014,"04","Homicide",0,"M",23,"Black",100,"Home",1
"67575",2014,"04","Suicide",0,"M",74,"White",100,"Home",2
"67576",2014,"04","Homicide",0,"M",36,"White",100,"Other unspecified",2
"67577",2014,"01","Suicide",0,"M",21,"Black",100,"Home",2
"67578",2014,"04","Homicide",0,"M",32,"Black",100,"Street",3
"67579",2014,"04","Suicide",0,"M",34,"White",100,"Home",3
"67580",2014,"04","Suicide",0,"M",24,"Black",100,"Home",2
"67581",2014,"04","Suicide",0,"M",47,"White",100,"Home",2
"67582",2014,"04","Suicide",0,"M",54,"White",100,"Street",2
"67583",2014,"04","Suicide",0,"M",61,"White",100,"Other unspecified",2
"67584",2014,"05","Suicide",0,"M",43,"White",100,"Other specified",2
"67585",2014,"04","Suicide",0,"M",38,"Hispanic",211,"Trade/service area",1
"67586",2014,"04","Suicide",0,"M",70,"Black",100,"Other unspecified",1
"67587",2014,"04","Suicide",0,"M",61,"White",100,"Home",2
"67588",2014,"04","Suicide",0,"F",25,"White",100,"Home",2
"67589",2014,"05","Suicide",0,"F",21,"Black",100,"Home",2
"67590",2014,"05","Suicide",0,"M",49,"White",100,"Home",4
"67591",2014,"02","Suicide",0,"M",59,"White",100,"Home",2
"67592",2014,"05","Suicide",0,"F",58,"White",100,"Home",3
"67593",2014,"04","Suicide",0,"M",25,"White",100,"Home",3
"67594",2014,"04","Homicide",0,"M",44,"White",100,"School/instiution",1
"67595",2014,"04","Suicide",0,"M",42,"White",100,"Other specified",2
"67596",2014,"04","Suicide",0,"M",21,"White",100,"Home",2
"67597",2014,"05","Suicide",0,"M",24,"White",100,"Home",2
"67598",2014,"05","Suicide",0,"M",62,"White",100,"Home",3
"67599",2014,"05","Homicide",0,"M",31,"Black",100,"Street",3
"67600",2014,"04","Homicide",0,"M",67,"Black",100,"Home",2
